3,H-Bb H-Mj H-Mn L-Bb L-Mn S-Bb
2,H-Mj H-Mn
2,H-Bb H-Mj H-Mn
2,H-Bb L-Bb S-Bb
2,H-Bb H-Mn L-Bb L-Mn
2,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Mj
2,H-Bb H-Mj L-Bb L-Mj S-Bb S-Mn
2,L-Bb S-Bb S-Mj S-Mn
2,L-Bb L-Mj L-Mn S-Bb S-Mn
2,S-Mj S-Mn
2,H-Bb S-Bb
2,H-Bb H-Mj H-Mn L-Bb S-Bb
2,H-Bb H-Mj L-Bb L-Mn S-Bb S-Mn
2,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mj
2,H-Bb H-Mj H-Mn L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb L-Bb L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn L-Bb S-Bb S-Mn
1,H-Bb L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mn L-Bb L-Mj S-Bb S-Mj
1,H-Bb L-Bb S-Bb S-Mj S-Mn
1,H-Bb H-Mj L-Mj L-Mn
1,H-Bb H-Mn S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Mj S-Bb S-Mj S-Mn
1,L-Bb L-Mn S-Bb S-Mj S-Mn
1,S-Bb
1,H-Bb H-Mn L-Bb L-Mj L-Mn S-Bb S-Mn
1,H-Bb H-Mj H-Mn L-Mn
1,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mn
1,H-Bb H-Mj H-Mn L-Mj L-Mn
1,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Mn
1,L-Bb S-Bb S-Mj
1,H-Bb L-Mj L-Mn S-Bb
1,L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Mj L-Mj L-Mn S-Bb S-Mj S-Mn
1,L-Mj L-Mn S-Mn
1,H-Bb L-Bb S-Bb S-Mn
1,H-Bb H-Mn L-Bb L-Mj S-Bb
1,H-Bb H-Mj H-Mn L-Mj L-Mn S-Bb S-Mj
1,H-Bb H-Mn L-Bb L-Mn S-Bb
1,H-Bb H-Mn L-Bb L-Mj
1,S-Bb S-Mj S-Mn
1,L-Bb L-Mn S-Bb
1,L-Mn
1,L-Mj
1,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mj S-Mn
1,H-Mn L-Mn
1,H-Bb H-Mj H-Mn L-Bb L-Mj L-Mn S-Mj S-Mn
1,H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mn L-Bb L-Mn S-Bb S-Mn
1,L-Bb L-Mj L-Mn S-Mj S-Mn
1,H-Bb H-Mn
1,H-Bb H-Mj H-Mn L-Mj S-Bb
1,H-Bb L-Bb L-Mn S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mn
1,H-Bb H-Mn L-Mj
1,L-Bb S-Mj S-Mn
1,H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Mj H-Mn L-Bb L-Mj L-Mn
