1,S-Bb S-Mn
1,H-Mn L-Mn
1,H-Bb H-Mj H-Mn S-Mj S-Mn
1,H-Bb S-Bb S-Mj S-Mn
1,H-Bb H-Mj L-Mn S-Bb
1,H-Bb H-Mj H-Mn L-Mn
1,H-Mn L-Bb
1,H-Mj L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mj S-Mj
1,H-Mn
1,L-Mj L-Mn S-Mn
1,L-Bb L-Mj L-Mn S-Mn
1,H-Mj H-Mn L-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb L-Mj L-Mn S-Bb S-Mj S-Mn
1,H-Bb H-Mn L-Bb S-Bb S-Mj S-Mn
1,H-Bb L-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn L-Mj L-Mn S-Mj
1,H-Bb L-Mj S-Bb
1,H-Bb H-Mj H-Mn L-Mj L-Mn S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Mj S-Bb
1,H-Bb H-Mn L-Bb L-Mj L-Mn S-Bb S-Mn
1,H-Mj H-Mn L-Mj
1,H-Bb L-Bb L-Mn S-Bb S-Mj
1,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mn
1,H-Bb H-Mj H-Mn L-Bb L-Mj S-Bb S-Mj
1,H-Bb H-Mn L-Mj
1,L-Bb S-Mj S-Mn
1,H-Bb H-Mj H-Mn S-Mn
